split,source_image,output_image,label,width,height,masked
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0000.jpg,good,45,116,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0001.jpg,good,107,42,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0002.jpg,good,40,113,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0003.jpg,good,100,43,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0004.jpg,good,42,96,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0005.jpg,good,127,41,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0006.jpg,good,58,131,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0007.jpg,good,87,46,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0008.jpg,good,99,124,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0009.jpg,good,101,60,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0010.jpg,good,38,107,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0011.jpg,good,94,118,True
train,data/raw/CK-CNNLW/dataset/synthesized/train/cluster1.jpg,data/synthetic_ckcnnlw_crops/train/good/ckcnnlw_cluster1_0012.jpg,good,75,91,True
